filename;left;top
pdp1120_size=800_background.png;0; 0
pdp1120_size=800_background.png;0; 0
pdp1120_size=800_lightbulb_address0_on.png;700; 232
pdp1120_size=800_lightbulb_address1_on.png;678; 232
pdp1120_size=800_lightbulb_destination_on.png;633; 232
pdp1120_size=800_lightbulb_source_on.png;589; 232
pdp1120_size=800_lightbulb_exec_on.png;700; 198
pdp1120_size=800_lightbulb_fetch_on.png;678; 198
pdp1120_size=800_lightbulb_bus_on.png;633; 198
pdp1120_size=800_lightbulb_run_on.png;590; 198
pdp1120_size=800_lightbulb_data00_on.png;525; 232
pdp1120_size=800_lightbulb_data01_on.png;503; 232
pdp1120_size=800_lightbulb_data02_on.png;481; 232
pdp1120_size=800_lightbulb_data03_on.png;459; 232
pdp1120_size=800_lightbulb_data04_on.png;438; 232
pdp1120_size=800_lightbulb_data05_on.png;416; 232
pdp1120_size=800_lightbulb_data06_on.png;394; 232
pdp1120_size=800_lightbulb_data07_on.png;373; 232
pdp1120_size=800_lightbulb_data08_on.png;351; 232
pdp1120_size=800_lightbulb_data09_on.png;330; 232
pdp1120_size=800_lightbulb_data10_on.png;308; 232
pdp1120_size=800_lightbulb_data11_on.png;286; 232
pdp1120_size=800_lightbulb_data12_on.png;264; 231
pdp1120_size=800_lightbulb_data13_on.png;243; 232
pdp1120_size=800_lightbulb_data14_on.png;221; 231
pdp1120_size=800_lightbulb_data15_on.png;199; 231
pdp1120_size=800_lightbulb_addr00_on.png;525; 198
pdp1120_size=800_lightbulb_addr01_on.png;503; 198
pdp1120_size=800_lightbulb_addr02_on.png;482; 198
pdp1120_size=800_lightbulb_addr03_on.png;460; 198
pdp1120_size=800_lightbulb_addr04_on.png;438; 198
pdp1120_size=800_lightbulb_addr05_on.png;416; 198
pdp1120_size=800_lightbulb_addr06_on.png;395; 198
pdp1120_size=800_lightbulb_addr07_on.png;373; 198
pdp1120_size=800_lightbulb_addr08_on.png;351; 198
pdp1120_size=800_lightbulb_addr09_on.png;330; 198
pdp1120_size=800_lightbulb_addr10_on.png;308; 198
pdp1120_size=800_lightbulb_addr11_on.png;286; 198
pdp1120_size=800_lightbulb_addr12_on.png;264; 198
pdp1120_size=800_lightbulb_addr13_on.png;243; 198
pdp1120_size=800_lightbulb_addr14_on.png;221; 198
pdp1120_size=800_lightbulb_addr15_on.png;199; 198
pdp1120_size=800_lightbulb_addr16_on.png;178; 198
pdp1120_size=800_lightbulb_addr17_on.png;156; 198
pdp1120_size=800_switch_dep_down.png;693; 290
pdp1120_size=800_switch_dep_up.png;693; 290
pdp1120_size=800_switch_start_down.png;661; 290
pdp1120_size=800_switch_start_up.png;661; 290
pdp1120_size=800_switch_sinst_scycle_down.png;639; 291
pdp1120_size=800_switch_sinst_scycle_up.png;639; 290
pdp1120_size=800_switch_enable_halt_down.png;617; 290
pdp1120_size=800_switch_enable_halt_up.png;617; 290
pdp1120_size=800_switch_cont_down.png;595; 291
pdp1120_size=800_switch_cont_up.png;595; 290
pdp1120_size=800_switch_exam_down.png;574; 290
pdp1120_size=800_switch_exam_up.png;574; 290
pdp1120_size=800_switch_load_addr_down.png;552; 290
pdp1120_size=800_switch_load_addr_up.png;552; 290
pdp1120_size=800_switch_sr00_down.png;519; 290
pdp1120_size=800_switch_sr00_up.png;519; 290
pdp1120_size=800_switch_sr01_down.png;498; 290
pdp1120_size=800_switch_sr01_up.png;498; 290
pdp1120_size=800_switch_sr02_down.png;476; 290
pdp1120_size=800_switch_sr02_up.png;477; 289
pdp1120_size=800_switch_sr03_down.png;455; 290
pdp1120_size=800_switch_sr03_up.png;455; 289
pdp1120_size=800_switch_sr04_down.png;433; 290
pdp1120_size=800_switch_sr04_up.png;433; 289
pdp1120_size=800_switch_sr05_down.png;411; 290
pdp1120_size=800_switch_sr05_up.png;411; 289
pdp1120_size=800_switch_sr06_down.png;389; 290
pdp1120_size=800_switch_sr06_up.png;389; 289
pdp1120_size=800_switch_sr07_down.png;367; 290
pdp1120_size=800_switch_sr07_up.png;367; 289
pdp1120_size=800_switch_sr08_down.png;346; 289
pdp1120_size=800_switch_sr08_up.png;346; 289
pdp1120_size=800_switch_sr09_down.png;324; 289
pdp1120_size=800_switch_sr09_up.png;324; 289
pdp1120_size=800_switch_sr10_down.png;302; 289
pdp1120_size=800_switch_sr10_up.png;302; 289
pdp1120_size=800_switch_sr11_down.png;281; 289
pdp1120_size=800_switch_sr11_up.png;281; 289
pdp1120_size=800_switch_sr12_down.png;260; 289
pdp1120_size=800_switch_sr12_up.png;260; 289
pdp1120_size=800_switch_sr13_down.png;238; 289
pdp1120_size=800_switch_sr13_up.png;238; 289
pdp1120_size=800_switch_sr14_down.png;217; 289
pdp1120_size=800_switch_sr14_up.png;217; 289
pdp1120_size=800_switch_sr15_down.png;194; 289
pdp1120_size=800_switch_sr15_up.png;194; 289
pdp1120_size=800_switch_sr16_down.png;171; 289
pdp1120_size=800_switch_sr16_up.png;172; 289
pdp1120_size=800_switch_sr17_down.png;150; 289
pdp1120_size=800_switch_sr17_up.png;151; 289
pdp1120_size=800_keyswitch_lock.png;102; 290
pdp1120_size=800_keyswitch_power.png;102; 289
pdp1120_size=800_keyswitch_off.png;102; 289
