filename;left;top
pdp1140industrial_size=2400_background.png;0; 0
pdp1140industrial_size=2400_background.png;0; 0
pdp1140industrial_size=2400_switch_sr_00_up.png;1412; 985
pdp1140industrial_size=2400_switch_sr_01_up.png;1341; 986
pdp1140industrial_size=2400_switch_sr_02_up.png;1271; 986
pdp1140industrial_size=2400_switch_sr_03_up.png;1202; 987
pdp1140industrial_size=2400_switch_sr_04_up.png;1127; 986
pdp1140industrial_size=2400_switch_sr_05_up.png;1057; 986
pdp1140industrial_size=2400_switch_sr_06_up.png;983; 985
pdp1140industrial_size=2400_switch_sr_07_up.png;912; 986
pdp1140industrial_size=2400_switch_sr_08_up.png;840; 986
pdp1140industrial_size=2400_switch_sr_09_up.png;770; 986
pdp1140industrial_size=2400_switch_sr_10_up.png;699; 988
pdp1140industrial_size=2400_switch_sr_11_up.png;628; 985
pdp1140industrial_size=2400_switch_sr_12_up.png;555; 988
pdp1140industrial_size=2400_switch_sr_13_up.png;485; 985
pdp1140industrial_size=2400_switch_sr_14_up.png;412; 988
pdp1140industrial_size=2400_switch_sr_15_up.png;342; 986
pdp1140industrial_size=2400_switch_sr_16_up.png;272; 988
pdp1140industrial_size=2400_switch_sr_17_up.png;198; 988
pdp1140industrial_size=2400_switch_dep_up.png;2122; 979
pdp1140industrial_size=2400_switch_start_down.png;1908; 982
pdp1140industrial_size=2400_switch_halt_down.png;1837; 983
pdp1140industrial_size=2400_switch_cont_down.png;1766; 982
pdp1140industrial_size=2400_switch_exam_down.png;1691; 983
pdp1140industrial_size=2400_switch_load_adrs_down.png;1623; 983
pdp1140industrial_size=2400_led_virtual_on.png;2003; 674
pdp1140industrial_size=2400_led_console_on.png;1859; 674
pdp1140industrial_size=2400_led_proc_on.png;1718; 673
pdp1140industrial_size=2400_led_user_on.png;2003; 603
pdp1140industrial_size=2400_led_bus_on.png;1861; 605
pdp1140industrial_size=2400_led_run_on.png;1718; 604
pdp1140industrial_size=2400_led_data_00.png;1433; 673
pdp1140industrial_size=2400_led_data_01.png;1361; 673
pdp1140industrial_size=2400_led_data_02.png;1290; 673
pdp1140industrial_size=2400_led_data_03.png;1218; 672
pdp1140industrial_size=2400_led_data_04.png;1148; 673
pdp1140industrial_size=2400_led_data_05.png;1077; 673
pdp1140industrial_size=2400_led_data_06.png;1005; 673
pdp1140industrial_size=2400_led_data_07.png;935; 673
pdp1140industrial_size=2400_led_data_08.png;863; 673
pdp1140industrial_size=2400_led_data_09.png;792; 672
pdp1140industrial_size=2400_led_data_10.png;721; 672
pdp1140industrial_size=2400_led_data_11.png;649; 673
pdp1140industrial_size=2400_led_data_12.png;579; 673
pdp1140industrial_size=2400_led_data_13.png;508; 673
pdp1140industrial_size=2400_led_data_14.png;436; 672
pdp1140industrial_size=2400_led_data_15.png;366; 673
pdp1140industrial_size=2400_led_address_00.png;1433; 461
pdp1140industrial_size=2400_led_address_01.png;1362; 461
pdp1140industrial_size=2400_led_address_02.png;1291; 460
pdp1140industrial_size=2400_led_address_03.png;1218; 459
pdp1140industrial_size=2400_led_address_04.png;1148; 461
pdp1140industrial_size=2400_led_address_05.png;1077; 460
pdp1140industrial_size=2400_led_address_06.png;1006; 461
pdp1140industrial_size=2400_led_address_07.png;934; 460
pdp1140industrial_size=2400_led_address_08.png;862; 460
pdp1140industrial_size=2400_led_address_09.png;792; 460
pdp1140industrial_size=2400_led_address_10.png;721; 460
pdp1140industrial_size=2400_led_address_11.png;650; 460
pdp1140industrial_size=2400_led_address_12.png;578; 460
pdp1140industrial_size=2400_led_address_13.png;507; 460
pdp1140industrial_size=2400_led_address_14.png;436; 460
pdp1140industrial_size=2400_led_address_15.png;365; 461
pdp1140industrial_size=2400_led_address_16.png;294; 461
pdp1140industrial_size=2400_led_address_17.png;222; 460
