filename;left;top
pdp10ki10_size=1900_Hintergrund.png;0; 0
pdp10ki10_size=1900_background.png;0; 0
pdp10ki10_size=1900_background_buttons_row11.png;677; 777
pdp10ki10_size=1900_background_buttons_row10.png;122; 696
pdp10ki10_size=1900_background_buttons_row9.png;596; 615
pdp10ki10_size=1900_background_lamps_row8.png;151; 579
pdp10ki10_size=1900_background_lamps_row7.png;854; 550
pdp10ki10_size=1900_background_lamps_row6.png;154; 529
pdp10ki10_size=1900_background_lamps_row5.png;155; 479
pdp10ki10_size=1900_background_lamps_row4.png;134; 430
pdp10ki10_size=1900_sw_DEPOSIT_NEXT_down_on.png;1630; 788
pdp10ki10_size=1900_sw_DEPOSIT_NEXT_down_off.png;1631; 788
pdp10ki10_size=1900_sw_DEPOSIT_NEXT_up_on.png;1631; 785
pdp10ki10_size=1900_sw_DEPOSIT_NEXT_up_off.png;1630; 785
pdp10ki10_size=1900_sw_DEPOSIT_THIS_down_on.png;1588; 788
pdp10ki10_size=1900_sw_DEPOSIT_THIS_down_off.png;1587; 788
pdp10ki10_size=1900_sw_DEPOSIT_THIS_up_on.png;1587; 785
pdp10ki10_size=1900_sw_DEPOSIT_THIS_up_off.png;1586; 785
pdp10ki10_size=1900_sw_EXAMINE_NEXT_down_on.png;1502; 788
pdp10ki10_size=1900_sw_EXAMINE_NEXT_down_off.png;1502; 788
pdp10ki10_size=1900_sw_EXAMINE_NEXT_up_on.png;1501; 784
pdp10ki10_size=1900_sw_EXAMINE_NEXT_up_off.png;1501; 784
pdp10ki10_size=1900_sw_EXAMINE_THIS_down_on.png;1459; 787
pdp10ki10_size=1900_sw_EXAMINE_THIS_down_off.png;1460; 787
pdp10ki10_size=1900_sw_EXAMINE_THIS_up_on.png;1458; 784
pdp10ki10_size=1900_sw_EXAMINE_THIS_up_off.png;1458; 784
pdp10ki10_size=1900_sw_XCT_down_on.png;1416; 788
pdp10ki10_size=1900_sw_XCT_down_off.png;1416; 788
pdp10ki10_size=1900_sw_XCT_up_on.png;1416; 785
pdp10ki10_size=1900_sw_XCT_up_off.png;1416; 785
pdp10ki10_size=1900_sw_RESET_down_on.png;1373; 788
pdp10ki10_size=1900_sw_RESET_down_off.png;1373; 788
pdp10ki10_size=1900_sw_RESET_up_on.png;1373; 785
pdp10ki10_size=1900_sw_RESET_up_off.png;1373; 785
pdp10ki10_size=1900_sw_STOP_down_on.png;1329; 788
pdp10ki10_size=1900_sw_STOP_down_off.png;1330; 788
pdp10ki10_size=1900_sw_STOP_up_on.png;1329; 785
pdp10ki10_size=1900_sw_STOP_up_off.png;1329; 785
pdp10ki10_size=1900_sw_CONT_down_on.png;1286; 788
pdp10ki10_size=1900_sw_CONT_down_off.png;1287; 788
pdp10ki10_size=1900_sw_CONT_up_on.png;1285; 785
pdp10ki10_size=1900_sw_CONT_up_off.png;1285; 785
pdp10ki10_size=1900_sw_START_down_on.png;1243; 788
pdp10ki10_size=1900_sw_START_down_off.png;1244; 789
pdp10ki10_size=1900_sw_START_up_on.png;1243; 785
pdp10ki10_size=1900_sw_START_up_off.png;1243; 785
pdp10ki10_size=1900_sw_READ_IN_down_on.png;1200; 788
pdp10ki10_size=1900_sw_READ_IN_down_off.png;1200; 789
pdp10ki10_size=1900_sw_READ_IN_up_on.png;1201; 785
