filename;left;top
pdp15_size=1340_background.png;0; 0
pdp15_size=1340_background.png;0; 0
pdp15_size=1340_knobs_frontal_background.png;1089; 498
pdp15_size=1340_knob_frontal_register_select_oa.png;1136; 515
pdp15_size=1340_knob_frontal_register_select_mq.png;1137; 516
pdp15_size=1340_knob_frontal_register_select_l_sc.png;1135; 515
pdp15_size=1340_knob_frontal_register_select_xr.png;1135; 515
pdp15_size=1340_knob_frontal_register_select_lr.png;1135; 516
pdp15_size=1340_knob_frontal_register_select_eae.png;1135; 515
pdp15_size=1340_knob_frontal_register_select_dsr.png;1134; 515
pdp15_size=1340_knob_frontal_register_select_iob.png;1135; 515
pdp15_size=1340_knob_frontal_register_select_sta.png;1136; 515
pdp15_size=1340_knob_frontal_register_select_mo.png;1135; 515
pdp15_size=1340_knob_frontal_register_select_ac.png;1135; 515
pdp15_size=1340_knob_frontal_register_select_pc.png;1135; 515
pdp15_size=1340_knob_frontal_repeat_rate_pos14.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos13.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos12.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos11.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos10.png;1139; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos09.png;1139; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos08.png;1138; 512
pdp15_size=1340_knob_frontal_repeat_rate_pos07.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos06.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos05.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos04.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos03.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos02.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos01.png;1138; 511
pdp15_size=1340_knob_frontal_repeat_rate_pos00.png;1138; 511
pdp15_size=1340_knob_normal_repeat_rate_pos14.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos13.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos12.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos11.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos10.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos09.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos08.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos07.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos06.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos05.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos04.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos03.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos02.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos01.png;1131; 488
pdp15_size=1340_knob_normal_repeat_rate_pos00.png;1131; 488
pdp15_size=1340_knob_normal_register_select_oa.png;1139; 565
pdp15_size=1340_knob_normal_register_select_mq.png;1135; 566
pdp15_size=1340_knob_normal_register_select_l_sc.png;1133; 566
pdp15_size=1340_knob_normal_register_select_xr.png;1133; 565
pdp15_size=1340_knob_normal_register_select_lr.png;1133; 565
pdp15_size=1340_knob_normal_register_select_eae.png;1134; 565
pdp15_size=1340_knob_normal_register_select_dsr.png;1134; 565
pdp15_size=1340_knob_normal_register_select_iob.png;1135; 565
pdp15_size=1340_knob_normal_register_select_sta.png;1136; 565
pdp15_size=1340_knob_normal_register_select_ac.png;1134; 565
pdp15_size=1340_knob_normal_register_select_mo.png;1136; 565
pdp15_size=1340_knob_normal_register_select_pc.png;1140; 565
pdp15_size=1340_switch_data17_2panel.png;1091; 571
pdp15_size=1340_switch_data17_2user.png;1091; 571
pdp15_size=1340_switch_data16_2panel(+2panel).png;1054; 571
pdp15_size=1340_switch_data16_2panel(+2user).png;1054; 571
pdp15_size=1340_switch_data16_2user(+2panel).png;1054; 571
pdp15_size=1340_switch_data16_2user(+2user).png;1053; 571
pdp15_size=1340_switch_data15_2panel(+2panel).png;1018; 571
pdp15_size=1340_switch_data15_2user(+2panel).png;1018; 571
pdp15_size=1340_switch_data15_2panel(+2user).png;1017; 571
pdp15_size=1340_switch_data15_2user(+2user).png;1017; 571
pdp15_size=1340_switch_data14_2panel(+2panel).png;982; 570
pdp15_size=1340_switch_data14_2panel(+2user).png;981; 571
pdp15_size=1340_switch_data14_2user(+2panel).png;982; 571
pdp15_size=1340_switch_data14_2user(+2user).png;981; 570
