filename;left;top
pdp8i_size=1580_background.png;0; 0
pdp8i_size=1580_background.png;0; 0
pdp8i_size=1580_keylock_panel_lock_on.png;108; 652
pdp8i_size=1580_keylock_panel_lock_off.png;111; 652
pdp8i_size=1580_keylock_power_on.png;107; 579
pdp8i_size=1580_keylock_power_off.png;107; 579
pdp8i_size=1580_lightbulb_run_on.png;1390; 299
pdp8i_size=1580_lightbulb_pause_on.png;1390; 268
pdp8i_size=1580_lightbulb_ion_on.png;1390; 235
pdp8i_size=1580_lightbulb_word_count_on.png;1307; 331
pdp8i_size=1580_lightbulb_break_on.png;1306; 395
pdp8i_size=1580_lightbulb_current_address_on.png;1307; 363
pdp8i_size=1580_lightbulb_defer_on.png;1307; 299
pdp8i_size=1580_lightbulb_execute_on.png;1307; 268
pdp8i_size=1580_lightbulb_fetch_on.png;1308; 236
pdp8i_size=1580_lightbulb_jmp_on.png;1224; 395
pdp8i_size=1580_lightbulb_opr_on.png;1223; 459
pdp8i_size=1580_lightbulb_iot_on.png;1224; 427
pdp8i_size=1580_lightbulb_jms_on.png;1224; 362
pdp8i_size=1580_lightbulb_dca_on.png;1225; 332
pdp8i_size=1580_lightbulb_isz_on.png;1225; 299
pdp8i_size=1580_lightbulb_tad_on.png;1225; 267
pdp8i_size=1580_lightbulb_and_on.png;1226; 235
pdp8i_size=1580_lightbulb_multiplier_quotient_11_on.png;1059; 489
pdp8i_size=1580_lightbulb_multiplier_quotient_10_on.png;1018; 489
pdp8i_size=1580_lightbulb_multiplier_quotient_09_on.png;977; 489
pdp8i_size=1580_lightbulb_multiplier_quotient_08_on.png;936; 489
pdp8i_size=1580_lightbulb_multiplier_quotient_07_on.png;895; 488
pdp8i_size=1580_lightbulb_multiplier_quotient_06_on.png;854; 488
pdp8i_size=1580_lightbulb_multiplier_quotient_05_on.png;812; 488
pdp8i_size=1580_lightbulb_multiplier_quotient_04_on.png;772; 488
pdp8i_size=1580_lightbulb_multiplier_quotient_03_on.png;731; 488
pdp8i_size=1580_lightbulb_multiplier_quotient_02_on.png;690; 487
pdp8i_size=1580_lightbulb_multiplier_quotient_01_on.png;648; 487
pdp8i_size=1580_lightbulb_multiplier_quotient_00_on.png;607; 487
